Tue Oct  7 14:46:25 2025
POINT,X,Y,Z,I,J,K
1,10,10.001,0.082,0.004,0.009,1
2,41.111,10,-0.012,0.004,0.009,1
3,72.222,10,-0.001,0.004,0.009,1
4,103.333,10,-0.01,0.004,0.009,1
5,134.444,10,-0.041,0.004,0.009,1
6,165.555,10,-0.028,0.004,0.009,1
7,196.667,10,0.006,0.004,0.009,1
8,227.778,10,0.005,0.004,0.009,1
9,258.889,10,0.049,0.004,0.009,1
10,290,10,-0.018,0.004,0.009,1
11,10,29.444,-0.045,0.004,0.009,1
12,41.111,29.444,0.005,0.004,0.009,1
13,72.222,29.445,0.025,0.004,0.009,1
14,103.333,29.444,-0.023,0.004,0.009,1
15,134.444,29.444,0.001,0.004,0.009,1
16,165.556,29.444,-0.006,0.004,0.009,1
17,196.667,29.444,-0.017,0.004,0.009,1
18,227.778,29.444,-0.016,0.004,0.009,1
19,258.889,29.444,-0.003,0.004,0.009,1
20,290,29.444,-0.001,0.004,0.009,1
21,10,48.889,0.022,0.004,0.009,1
22,41.111,48.889,-0.038,0.004,0.009,1
23,72.222,48.889,-0.018,0.004,0.009,1
24,103.333,48.889,-0.024,0.004,0.009,1
25,134.444,48.889,0.007,0.004,0.009,1
26,165.556,48.889,0.009,0.004,0.009,1
27,196.667,48.889,0.018,0.004,0.009,1
28,227.778,48.889,-0.015,0.004,0.009,1
29,258.889,48.889,-0.003,0.004,0.009,1
30,290,48.889,0.003,0.004,0.009,1
31,10,68.333,-0.018,0.004,0.009,1
32,41.111,68.333,-0.035,0.004,0.009,1
33,72.222,68.333,-0.043,0.004,0.009,1
34,103.333,68.333,-0.014,0.004,0.009,1
35,134.445,68.334,0.045,0.004,0.009,1
36,165.556,68.333,0.004,0.004,0.009,1
37,196.667,68.333,-0.019,0.004,0.009,1
38,227.778,68.334,0.05,0.004,0.009,1
39,258.889,68.333,-0.006,0.004,0.009,1
40,290,68.333,0.017,0.004,0.009,1
41,10,87.778,0.012,0.004,0.009,1
42,41.111,87.778,-0.022,0.004,0.009,1
43,72.222,87.778,0.026,0.004,0.009,1
44,103.333,87.777,-0.037,0.004,0.009,1
45,134.444,87.778,-0.016,0.004,0.009,1
46,165.556,87.778,0.008,0.004,0.009,1
47,196.667,87.778,-0.021,0.004,0.009,1
48,227.778,87.778,-0.031,0.004,0.009,1
49,258.889,87.778,-0.012,0.004,0.009,1
50,290,87.778,0.034,0.004,0.009,1
51,10,107.222,-0.015,0.004,0.009,1
52,41.111,107.222,-0.008,0.004,0.009,1
53,72.222,107.222,0.004,0.004,0.009,1
54,103.333,107.222,-0.021,0.004,0.009,1
55,134.444,107.222,0.003,0.004,0.009,1
56,165.556,107.222,-0.003,0.004,0.009,1
57,196.667,107.222,0.002,0.004,0.009,1
58,227.778,107.222,-0.03,0.004,0.009,1
59,258.889,107.222,-0.01,0.004,0.009,1
60,290,107.222,-0.037,0.004,0.009,1
61,10,126.666,-0.023,0.004,0.009,1
62,41.111,126.667,0.009,0.004,0.009,1
63,72.222,126.666,-0.074,0.004,0.009,1
64,103.333,126.667,-0.012,0.004,0.009,1
65,134.445,126.667,0.014,0.004,0.009,1
66,165.555,126.667,-0.018,0.004,0.009,1
67,196.667,126.666,-0.032,0.004,0.009,1
68,227.778,126.667,0.018,0.004,0.009,1
69,258.889,126.667,0.018,0.004,0.009,1
70,290,126.667,0.025,0.004,0.009,1
71,10,146.111,-0.014,0.004,0.009,1
72,41.111,146.111,0.015,0.004,0.009,1
73,72.222,146.111,0.016,0.004,0.009,1
74,103.333,146.111,-0.012,0.004,0.009,1
75,134.444,146.111,-0.047,0.004,0.009,1
76,165.555,146.111,-0.017,0.004,0.009,1
77,196.666,146.111,-0.044,0.004,0.009,1
78,227.778,146.112,0.072,0.004,0.009,1
79,258.889,146.111,0.013,0.004,0.009,1
80,290,146.111,-0.002,0.004,0.009,1
81,10,165.555,-0.028,0.004,0.009,1
82,41.111,165.555,-0.013,0.004,0.009,1
83,72.222,165.556,0.029,0.004,0.009,1
84,103.334,165.556,0.045,0.004,0.009,1
85,134.444,165.555,-0.025,0.004,0.009,1
86,165.555,165.555,-0.028,0.004,0.009,1
87,196.667,165.555,-0.023,0.004,0.009,1
88,227.778,165.556,0.039,0.004,0.009,1
89,258.889,165.556,0.017,0.004,0.009,1
90,290,165.556,0.073,0.004,0.009,1
91,10,185,0.04,0.004,0.009,1
92,41.111,185,0,0.004,0.009,1
93,72.222,185,0.014,0.004,0.009,1
94,103.334,185,0.048,0.004,0.009,1
95,134.445,185,0.015,0.004,0.009,1
96,165.555,185,-0.024,0.004,0.009,1
97,196.667,185,0.014,0.004,0.009,1
98,227.778,185,0.006,0.004,0.009,1
99,258.889,185,0.009,0.004,0.009,1
100,290,185,0.046,0.004,0.009,1
